image_lien,adresse,prix,details
https://images.coinafrique.com/thumb_729692_uploaded_image1_1562719154.82.png,"Medina, Dakar, Sénégal",25000.0,Details Inconnus
https://images.coinafrique.com/thumb_729710_uploaded_image1_1562719384.82.png,"Grand Yoff, Dakar, Sénégal",3000.0,"On livre partout à Dakar .

Juste vous payer le prix de votre poulet et la livraison est faite ."
https://images.coinafrique.com/thumb_729715_uploaded_image1_1562719494.94.png,"Médina, Dakar, Sénégal",25000.0,Details Inconnus
https://images.coinafrique.com/thumb_761183_uploaded_image1_1563536095.25.png,"Mbour, Sénégal",70000.0,Un couple géant des Flandre issu d'un mâle fauve géant des flandre pur sang importé et tatoué.
https://images.coinafrique.com/thumb_774940_uploaded_image1_1563940703.34.png,"Dakar, Sénégal",40000.0,"Couple de lapins demi sang géants des Flandres, disponible"
https://images.coinafrique.com/thumb_798654_uploaded_image2_1564576617.9.png,"Guediawaye, Dakar, Sénégal",2000.0,Meilleure qualité poulet de chair poids 2.kg à seulement 2000
https://images.coinafrique.com/thumb_841858_uploaded_image1_1565838064.66.png,"Thies Ouest, Thiès, Sénégal",5000.0,Bonjour je vends des coqs et poussins de Brahmane pur sang
https://images.coinafrique.com/thumb_855420_uploaded_image1_1566249496.28.png,Sénégal,15000.0,Disponibles.
https://images.coinafrique.com/thumb_858710_uploaded_image1_1566319546.08.png,Sénégal,800.0,Details Inconnus
https://images.coinafrique.com/thumb_862099_uploaded_image1_1566396428.28.png,"Médina, Dakar, Sénégal",70000.0,Femelle GDF 4 mois à vendre
https://images.coinafrique.com/thumb_878312_uploaded_image1_1566833445.3.png,"Médina, Dakar, Sénégal",10000.0,Details Inconnus
https://images.coinafrique.com/thumb_885789_uploaded_image1_1566997710.07.png,"Dakar, Sénégal",2500.0,Details Inconnus
https://images.coinafrique.com/thumb_886578_uploaded_image1_1567011857.49.png,Sénégal,800.0,"Nous mettons à votre disposition des volailles de race de hollande

- Origine hollandaise

- Poids adulte : coq : 3,5 à 4 kg ; poule : 2,7 à 3,2 kg

Nous faisons la couvaison des œufs importés et mettons en vente les poussins à raison de 800 F CFA l’unité."
https://images.coinafrique.com/thumb_886584_uploaded_image1_1567011994.0.png,Sénégal,2500.0,Details Inconnus
https://images.coinafrique.com/thumb_899472_uploaded_image1_1567385639.81.png,"Dakar, Sénégal",30000.0,Coq cochin bleu de 6 mois à vendre
https://images.coinafrique.com/thumb_899477_uploaded_image1_1567385912.28.png,"Dakar, Sénégal",15000.0,Couple bantam de 3 semaines à vendre
https://images.coinafrique.com/thumb_899487_uploaded_image1_1567386142.96.png,"Dakar, Sénégal",15000.0,Barahmane de 4 mois à vendre.
https://images.coinafrique.com/thumb_899496_uploaded_image1_1567386467.81.png,"Dakar, Sénégal",30000.0,Femelle cochin bleu en production et race pure à vendre
https://images.coinafrique.com/thumb_908730_uploaded_image1_1567603082.63.png,"Pikine, Sénégal",25000.0,Venez commander de bons poulets à bon prix
https://images.coinafrique.com/thumb_912493_uploaded_image1_1567685916.85.png,"Keur Massar, Sénégal",8000.0,Poussins de moins de 2 semaines
https://images.coinafrique.com/thumb_944280_uploaded_image1_1568469542.41.png,"Dieuppeul-Derklé, Dakar, Sénégal",7000.0,Bon prix .
https://images.coinafrique.com/thumb_944363_uploaded_image1_1568471599.26.png,Sénégal,25000.0,"Éleveur professionnel
Pigeon de race poulet de race lapin de race pérush"
https://images.coinafrique.com/thumb_968953_uploaded_image1_1569008082.81.png,"Guediawaye, Dakar, Sénégal",30000.0,"Je vends des paires de paons à des prix très abordables. 

Si vous êtes intéressés, contactez moi."
https://images.coinafrique.com/thumb_977534_uploaded_image1_1569239272.43.png,Sénégal,7000.0,Poules
https://images.coinafrique.com/thumb_993655_uploaded_image1_1569535990.77.png,"Médina, Dakar, Sénégal",11000.0,Lapin mal
https://images.coinafrique.com/thumb_1006369_uploaded_image1_1569853974.38.png,"Hann Bel-Air, Dakar, Sénégal",35000.0,Capables de couver ses œufs et d'élever ses poussins
https://images.coinafrique.com/thumb_1006380_uploaded_image1_1569854064.06.png,"Hann Bel-Air, Dakar, Sénégal",15000.0,Capables de couver ses œufs comme les poules de la basse cour
https://images.coinafrique.com/thumb_1006407_uploaded_image1_1569854536.38.png,"Grand Yoff, Dakar, Sénégal",20000.0,Pigeon Triganini est une race de pigeon italienne de Modene
https://images.coinafrique.com/thumb_1006413_uploaded_image1_1569854645.39.png,"Grand Yoff, Dakar, Sénégal",25000.0,Messager de Bassorah est une race de pigeon syrienne
https://images.coinafrique.com/thumb_1006424_uploaded_image1_1569854764.54.png,"Grand Yoff, Dakar, Sénégal",20000.0,Pigeon originaire de la ville  de Revelles
