image_lien,nom,adresse,prix
https://sn.coinafrique.com/annonce/chiens/chien-berger-2581250,Chien Berger,"Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/chiens/malinois-2581239,Malinois,"Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/chiens/chien-bichon-2581230,Chien Bichon,"Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/chiens/chiot-rottweiller-2580700,Chiot Rottweiller,"Hann Bel-Air, Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/chiens/chiots-spitz-nain-pomeranian-2578678,Chiots Spitz nain Pomeranian,"Fann, Dakar, Sénégal",475000.0
https://sn.coinafrique.com/annonce/chiens/chiot-rottweiller-2575614,Chiot Rottweiller,"Hann Bel-Air, Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/chiens/chiot-rotweiller-2567679,Chiot Rotweiller,"Hann Bel-Air, Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/chiens/chiots-malinois-pur-sang-2567608,Chiots Malinois pur sang,"Ouest Foire, Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/chiens/chiot-spitz-pomperanian-2567174,Chiot Spitz Pomperanian,"Fann, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/chiot-chiuawa-2567166,Chiot  Chiuawa,"Fann, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/chiot-kangal-2567155,Chiot Kangal,"Fann, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/chiots-bulldog-2567149,Chiots Bulldog,"Fann, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/chiots-doberman-2567144,Chiots Doberman,"Fann, Dakar, Sénégal",475000.0
https://sn.coinafrique.com/annonce/chiens/chiots-boerboel-2557147,Chiots Boerboel,"Rufisque, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/femelle-pitbull-2555833,Femelle pitbull,"Bargny, Sénégal",120000.0
https://sn.coinafrique.com/annonce/chiens/canish-2551556,Canish,"Fass, Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/chiens/malinois-2544486,Malinois,"Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/belger-allemand-2544470,Belger allemand,"Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-2541838,Chiots berger allemand,"Guediawaye, Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/chiens/chiots-shih-tzu-2536904,Chiots shih tzu,"Point E, Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-2535190,Chiot Berger Allemand,"Rufisque, Sénégal",150000.0
https://sn.coinafrique.com/annonce/chiens/chiot-berger-malinois-2534330,Chiot berger malinois,"Diamniadio, Sénégal",250000.0
https://sn.coinafrique.com/annonce/chiens/chien-chiwawa-2533324,Chien chiwawa,"Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-2528100,Chiots Rottweiler,"Dakar Plateau, Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/chiens/berger-allemand-2508974,Berger allemand,"Sicap Liberté, Dakar, Sénégal",175000.0
https://sn.coinafrique.com/annonce/chiens/chiens-berger-allemand-2482151,Chiens  Berger allemand,"Yoff, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/yorkshire-toy-femelle-2466136,Yorkshire toy femelle,"Fann, Dakar, Sénégal",475000.0
https://sn.coinafrique.com/annonce/chiens/chiots-bichons-maltais-2460286,Chiots Bichons Maltais,"Dakar, Sénégal",195000.0
https://sn.coinafrique.com/annonce/chiens/chiots-malinois-2457699,Chiots Malinois,"Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/chiots-2452744,Chiots,"Yoff, Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/chiens/chiots-bichons-2443734,Chiots bichons,"HLM, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/chiots-malinois-2441977,Chiots malinois,"Mermoz-Sacré Coeur, Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/chiens/malinois-pur-sang-2425090,Malinois pur sang,"Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/chiens/chiot-caniche-2417666,Chiot Caniche,"Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/chiens/berger-allemand-2374457,Berger allemand,"Dakar, Sénégal",350000.0
https://sn.coinafrique.com/annonce/chiens/chiot-yorkie-2373725,Chiot yorkie,"Yoff, Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/chiens/berger-allemand-2354463,Berger allemand,"Dakar, Sénégal",350000.0
https://sn.coinafrique.com/annonce/chiens/chien-berger-malinois-2331869,Chien berger malinois,"Yoff, Dakar, Sénégal",150000.0
https://sn.coinafrique.com/annonce/chiens/chiots-bichons-2324363,Chiots Bichons,"Dakar, Sénégal",350000.0
https://sn.coinafrique.com/annonce/chiens/caniche-2308946,Caniche,"Mermoz-Sacré Coeur, Dakar, Sénégal",240000.0
https://sn.coinafrique.com/annonce/chiens/berger-allemand-femelle-2300480,Berger Allemand femelle,"Fass, Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-2299686,Chiots Rottweiler,"Dakar, Sénégal",400000.0
https://sn.coinafrique.com/annonce/chiens/chiots-berger-2277897,Chiots Berger,"Saint Louis, Sénégal",160000.0
https://sn.coinafrique.com/annonce/chiens/chiot-berger-blanc-2250259,Chiot Berger blanc,"Saint Louis, Sénégal",170000.0
https://sn.coinafrique.com/annonce/chiens/chiots-berger-belge-malinois-2244294,Chiots berger belge malinois,"Dakar, Sénégal",150000.0
https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-2230488,Chiots berger allemand,"Guediawaye, Dakar, Sénégal",175000.0
https://sn.coinafrique.com/annonce/chiens/berger-allemand-pur-sang-2217470,Berger allemand pur sang,"Point E, Dakar, Sénégal",150000.0
https://sn.coinafrique.com/annonce/chiens/berger-allemand-pure-sang-2217466,Berger allemand pure sang,"Point E, Dakar, Sénégal",150000.0
https://sn.coinafrique.com/annonce/chiens/berger-blanc-suisse-2211811,Berger blanc suisse,"Saint Louis, Sénégal",150000.0
https://sn.coinafrique.com/annonce/chiens/chien-2209275,Chien,"Gibraltar, Dakar, Sénégal",65000.0
https://sn.coinafrique.com/annonce/chiens/bichons-2181152,Bichons,"Ngor, Dakar, Sénégal",350000.0
https://sn.coinafrique.com/annonce/chiens/chiot-chowchow-2155097,Chiot chowchow,"Fann, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/chiot-yorkie-chon-2151616,Chiot Yorkie_Chon,"Yoff, Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-2151223,Chiots Rottweiler,"Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/chiens/chiots-rockweile-2119461,Chiots rockweile,"Mermoz-Sacré-Cœur, Dakar, Sénégal",290000.0
https://sn.coinafrique.com/annonce/chiens/chiots-yorkshire-caniche-2107633,Chiots Yorkshire/caniche,"Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/chiots-berger-amstaff-2082208,Chiots Berger Amstaff,"Dakar, Sénégal",130000.0
https://sn.coinafrique.com/annonce/chiens/berger-malinois-charbone-2063869,Berger malinois charboné,"Mermoz-Sacré Coeur, Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/chiens/chiot-can-corso-2062566,Chiot Can Corso,"Mermoz-Sacré Coeur, Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-2062558,Chiot Berger Allemand,"Mermoz-Sacré Coeur, Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/chiens/chiot-chowchow-2047517,Chiot Chowchow,"Fann, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/femelles-metisse-rock-4-chiennes-1984265,Femelles  métisse rock / 4 chiennes,"Mermoz-Sacré-Cœur, Dakar, Sénégal",50000.0
https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-1959031,CHiots Pitbull,"Mermoz-Sacré-Cœur, Dakar, Sénégal",90000.0
https://sn.coinafrique.com/annonce/chiens/chien-1940073,Chien,"Dakar, Sénégal",400000.0
https://sn.coinafrique.com/annonce/chiens/chien-1940062,Chien,"Dakar, Sénégal",400000.0
https://sn.coinafrique.com/annonce/chiens/chiots-labrador-1935397,Chiots Labrador,"Fann, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/chiot-boxer-1935386,Chiot boxer,"Fann, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/chiens-malinois-1904735,Chiens Malinois,"Dakar Plateau, Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/chiens/metisse-chiots-rottweiler-1890049,Métisse chiots rottweiler,"Mermoz-Sacré-Cœur, Dakar, Sénégal",50000.0
https://sn.coinafrique.com/annonce/chiens/labrador-1869479,Labrador,"Yoff, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/bulldog-anglais-1862159,Bulldog anglais,"Fann, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/femelle-dogue-de-bordeaux-1862155,Femelle dogue de Bordeaux,"Fann, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/chiots-dogue-allemand-1862148,Chiots Dogue allemand,"Fann, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/chiots-pekinois-pure-race-1862142,Chiots pékinois pure race,"Fann, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/chiots-shiba-inu-1862112,Chiots Shiba inu,"Fann, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/chiots-spitz-nain-pomeranian-1862107,Chiots Spitz nain pomeranian,"Fann, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/caniches-1840583,Caniches,"Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/chien-dogue-allemand-1840570,Chien Dogue Allemand,"Yoff, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/doberman-pure-souche-1803179,Doberman pure souche,"Yoff, Dakar, Sénégal",350000.0
https://sn.coinafrique.com/annonce/chiens/chien-bichon-1733519,Chien Bichon,"Ouakam, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/chiens/cani-corso-1716117,Cani corso,"Dakar, Sénégal",475000.0
https://sn.coinafrique.com/annonce/chiens/chiot-berger-belge-malinois-1628361,Chiot berger belge malinois,"Pikine, Sénégal",175000.0
https://sn.coinafrique.com/annonce/chiens/doberman-1621541,Doberman,"Dakar, Sénégal",400000.0
https://sn.coinafrique.com/annonce/chiens/pekinois-1592664,Pékinois,"Fann, Dakar, Sénégal",200000.0
