image_lien,nom,adresse,prix
https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1910059,Mouton Ladoum,"Dakar-Plateau, Dakar, Sénégal",185000.0
https://sn.coinafrique.com/annonce/moutons/mouton-1909212,Mouton,"Dakar-Plateau, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/moutons/mouton-1909205,Mouton,"Dakar-Plateau, Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/moutons/moutons-1905916,Moutons,"Thies, Sénégal",350000.0
https://sn.coinafrique.com/annonce/moutons/mouton-1904199,Mouton,"Dakar Plateau, Dakar, Sénégal",170000.0
https://sn.coinafrique.com/annonce/moutons/ladoum-jeune-femelle-1869297,Ladoum jeune femelle,"Guediawaye, Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/moutons-toulabire-1863893,Moutons Toulabire,"Dakar-Plateau, Dakar, Sénégal",150000.0
https://sn.coinafrique.com/annonce/moutons/ladoum-pur-sang-1860713,Ladoum pur sang,"Keur Massar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/mouton-1847816,Mouton,"Dakar-Plateau, Dakar, Sénégal",95000.0
https://sn.coinafrique.com/annonce/moutons/petit-mouton-1843870,Petit mouton,"Dakar-Plateau, Dakar, Sénégal",450000.0
https://sn.coinafrique.com/annonce/moutons/mouton-1843866,Mouton,"Dakar-Plateau, Dakar, Sénégal",400000.0
https://sn.coinafrique.com/annonce/moutons/mouton-1843864,Mouton,"Dakar-Plateau, Dakar, Sénégal",605000.0
https://sn.coinafrique.com/annonce/moutons/moutons-1838123,Moutons,"Dakar-Plateau, Dakar, Sénégal",85000.0
https://sn.coinafrique.com/annonce/moutons/mouton-1830885,Mouton,"Dakar-Plateau, Dakar, Sénégal",95000.0
https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1823834,Mouton Ladoum,"Dakar-Plateau, Dakar, Sénégal",400000.0
https://sn.coinafrique.com/annonce/moutons/ladoum-1823167,Ladoum,"Ouakam, Dakar, Sénégal",605000.0
https://sn.coinafrique.com/annonce/moutons/mouton-1817604,Mouton,"Rufisque, Sénégal",350.0
https://sn.coinafrique.com/annonce/moutons/mouton-1814464,Mouton,"M'bour, Sénégal",180000.0
https://sn.coinafrique.com/annonce/moutons/mouton-1802901,Mouton,"Dakar-Plateau, Dakar, Sénégal",120000.0
https://sn.coinafrique.com/annonce/moutons/mouton-1788990,Mouton,"Ouakam, Dakar, Sénégal",280000.0
https://sn.coinafrique.com/annonce/moutons/ladoum-pur-sang-1712699,Ladoum pur sang,"Dakar-Plateau, Dakar, Sénégal",605000.0
https://sn.coinafrique.com/annonce/moutons/mouton-1710929,Mouton,Sénégal,250000.0
https://sn.coinafrique.com/annonce/moutons/mouton-1705512,Mouton,"HLM, Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/metisse-azawat-1689899,Métisse Azawat,"Dakar Plateau, Dakar, Sénégal",180000.0
https://sn.coinafrique.com/annonce/moutons/femelle-baine-melo-1660551,Femelle Baine Mélo,"Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/mouton-geniteur-1655632,Mouton Géniteur,"Keur Massar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/agnel-ladoum-1644447,Agnel Ladoum,"Rufisque, Sénégal",350000.0
https://sn.coinafrique.com/annonce/moutons/lots-de-ladoum-1634438,Lots  de ladoum,"Dakar, Sénégal",605000.0
https://sn.coinafrique.com/annonce/moutons/moutons-1618881,Moutons,"HLM, Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/femelle-ladoum-1599640,Femelle Ladoum,"Keur Massar, Sénégal",605000.0
https://sn.coinafrique.com/annonce/moutons/femelle-ladoum-1599587,Femelle ladoum,"Keur Massar, Sénégal",605000.0
https://sn.coinafrique.com/annonce/moutons/femelle-ladoum-1599357,Femelle ladoum,"Keur Massar, Sénégal",605000.0
https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1594060,Mouton ladoum,"Grand Yoff, Dakar, Sénégal",605000.0
https://sn.coinafrique.com/annonce/moutons/brebis-1584173,Brebis,"Keur Massar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/ladoum-1569276,Ladoum,"Guediawaye, Dakar, Sénégal",605000.0
https://sn.coinafrique.com/annonce/moutons/bali-bali-1568450,Bali bali,"Koumpentoum, Sénégal",300000.0
https://sn.coinafrique.com/annonce/moutons/bali-bali-1568440,Bali bali,"Koumpentoum, Sénégal",300000.0
https://sn.coinafrique.com/annonce/moutons/ladoum-pur-sang-1560181,Ladoum pur sang,"Kaffrine, Sénégal",605000.0
https://sn.coinafrique.com/annonce/moutons/azawate-pur-sang-1558957,Azawate pur sang,"Keur Massar, Sénégal",310000.0
https://sn.coinafrique.com/annonce/moutons/mouton-metisse-1508083,Mouton métisse,"Guédiawaye, Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/ladoum-1508049,Ladoum,"Guédiawaye, Dakar, Sénégal",550000.0
