image_lien,nom,adresse,prix
https://sn.coinafrique.com/annonce/autres-animaux/bufs-2694720,Bœufs,"Louga, Sénégal",350000.0
https://sn.coinafrique.com/annonce/autres-animaux/bufs-2694719,Bœufs,"Louga, Sénégal",350000.0
https://sn.coinafrique.com/annonce/autres-animaux/vaches-laitieres-2687649,Vaches laitières,"Mbour, Sénégal",645000.0
https://sn.coinafrique.com/annonce/autres-animaux/chevre-bouc-de-race-2675855,Chèvre Bouc de race,"Louga, Sénégal",200000.0
https://sn.coinafrique.com/annonce/autres-animaux/bouc-chevre-2673741,Bouc chèvre,"Diamniadio, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-2663712,Paon bleu,"Dakar, Sénégal",225000.0
https://sn.coinafrique.com/annonce/autres-animaux/chatons-2637004,Chatons,"Gorée, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/oie-2630503,Oie,"Mbour, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/oiseau-maknol-2583338,Oiseau Maknol,"Kaffrine, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/oies-2550824,Oies,"Diourbel, Sénégal",80000.0
https://sn.coinafrique.com/annonce/autres-animaux/vaches-hollandaises-2434087,Vaches hollandaises,"Saint Louis, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/geniteur-hollandais-holstein-2430101,Géniteur hollandais Holstein,"Mboro, Sénégal",645000.0
https://sn.coinafrique.com/annonce/autres-animaux/dindes-2421638,Dindes,"Mbour, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/souris-blanc-2407511,Souris blanc,"Hann Bel-Air, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/couples-paons-2394305,Couples Paons,"Keur Massar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/autres-animaux/chat-blanc-turc-2388043,Chat blanc turc,"Mermoz-Sacré Coeur, Dakar, Sénégal",150000.0
https://sn.coinafrique.com/annonce/autres-animaux/dinde-2351112,Dinde,"Dakar, Sénégal",20000.0
https://sn.coinafrique.com/annonce/autres-animaux/kittens-chatons-2319268,Kittens / chatons,"Yoff, Dakar, Sénégal",90000.0
https://sn.coinafrique.com/annonce/autres-animaux/perruches-2296024,Perruches,"Point E, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/oies-2281845,Oies,"Medina, Dakar, Sénégal",130000.0
https://sn.coinafrique.com/annonce/autres-animaux/vache-2276153,Vache,"Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/oies-2275120,Oies,"Dakar, Sénégal",1000.0
https://sn.coinafrique.com/annonce/autres-animaux/taureau-nelore-2251055,Taureau Nélore,"Guediawaye, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/chaton-york-chocolat-2240976,Chaton york chocolat,"Dakar, Sénégal",150000.0
https://sn.coinafrique.com/annonce/autres-animaux/boeufs-2239779,Boeufs,"Bambey, Sénégal",600000.0
https://sn.coinafrique.com/annonce/autres-animaux/poussins-brahman-et-cochin-2230369,Poussins brahman et cochin,"Keur Massar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/boeufs-2161624,Boeufs,"Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/buf-elevage-2147334,Bœuf élevage,"Guediawaye, Dakar, Sénégal",645000.0
https://sn.coinafrique.com/annonce/autres-animaux/boeuf-2101700,Boeuf,"Fann, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/boeuf-2088141,Boeuf,"Sicap Liberté, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/chevre-race-boer-2061898,Chèvre Race Boer,"Patte d'oie, Dakar, Sénégal",645000.0
https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-blanc-2052355,Chaton persan blanc,"Fann, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-chinchilla-2025374,Chaton persan chinchilla,"Fann, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1998573,Boeuf,"Dakar Plateau, Dakar, Sénégal",475.0
https://sn.coinafrique.com/annonce/autres-animaux/chaton-1962491,Chaton,"Fann, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/bufs-1954085,Bœufs,"Diourbel, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/vaches-1935629,Vaches,"Diourbel, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-1935403,Chaton Persan,"Fann, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/perruches-1934309,Perruches,"Fann, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-1899735,Chat Siamois,"Fann, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/dindon-rouge-1890125,Dindon rouge,"Mermoz-Sacré-Cœur, Dakar, Sénégal",30000.0
https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-1825906,Chat siamois,"Dakar, Sénégal",350000.0
https://sn.coinafrique.com/annonce/autres-animaux/buf-1606230,Bœuf,"Keur Massar, Sénégal",600000.0
https://sn.coinafrique.com/annonce/autres-animaux/boeufs-1544433,Boeufs,"Tambacounda, Sénégal",645000.0
https://sn.coinafrique.com/annonce/autres-animaux/couple-de-chevre-1521675,Couple de chèvre,"Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/vaches-1500655,Vaches,"Rufisque, Sénégal",275000.0
https://sn.coinafrique.com/annonce/autres-animaux/buf-1495773,Bœuf,"Saint Louis, Sénégal",645000.0
https://sn.coinafrique.com/annonce/autres-animaux/dindes-canards-et-colverts-1490889,Dindes - canards et colverts,"Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/biscuit-en-poudre-pour-betail-1459836,Biscuit en poudre pour betail,"Patte d'oie, Dakar, Sénégal",4000.0
https://sn.coinafrique.com/annonce/autres-animaux/perruches-1453837,Perruches,"Point E, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/perruches-1453830,Perruches,"Point E, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/perruches-1441558,Perruches,"Mermoz-Sacré-Cœur, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/oies-toulouse-1428089,Oies toulouse,"Fass, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/cheval-1421206,Cheval,"Fatick, Sénégal",400000.0
https://sn.coinafrique.com/annonce/autres-animaux/cheval-1421196,Cheval,"Fatick, Sénégal",400000.0
https://sn.coinafrique.com/annonce/autres-animaux/oies-de-guinee-1417652,Oies de guinée,"Thies, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/perruches-1395711,Perruches,"Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/perruches-1395598,Perruches,"Mermoz-Sacré-Cœur, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/oiseaux-exotiques-1393968,Oiseaux exotiques,"Dakar, Sénégal",20000.0
https://sn.coinafrique.com/annonce/autres-animaux/perruches-1389654,Perruches,"Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/cailles-1376905,Cailles,"Mermoz-Sacré-Cœur, Dakar, Sénégal",12000.0
https://sn.coinafrique.com/annonce/autres-animaux/oies-1322739,Oies,"Fass, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792,Oies,"Fass, Dakar, Sénégal",60000.0
https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-1310387,Paon bleu,"Parcelle Assainies, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/bufs-1198114,Bœufs,Sénégal,350000.0
https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419,Boeuf,"Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/mouton-ladoum-pure-sang-1011139,Mouton ladoum pure sang,Sénégal,100000.0
https://sn.coinafrique.com/annonce/autres-animaux/oies-bourbonaises-990474,Oies  bourbonaises,"Thies, Sénégal",50000.0
https://sn.coinafrique.com/annonce/autres-animaux/caille-931708,Caille,"Grand Yoff, Dakar, Sénégal",1000.0
https://sn.coinafrique.com/annonce/autres-animaux/verrat-de-race-large-white-929881,Verrat de race Large white,Sénégal,200000.0
https://sn.coinafrique.com/annonce/autres-animaux/chevre-balami-917895,Chèvre Balami,"Saint Louis, Sénégal",200000.0
