web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien
"1771528569-1","https://sn.coinafrique.com/categorie/chiens?page=10","Chien Berger","250 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chien-berger-2581250"
"1771528569-2","https://sn.coinafrique.com/categorie/chiens?page=10","Malinois","300 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/malinois-2581239"
"1771528569-3","https://sn.coinafrique.com/categorie/chiens?page=10","Chien Bichon","300 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chien-bichon-2581230"
"1771528569-4","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Rottweiller","300 000CFA","Hann Bel-Air, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-rottweiller-2580700"
"1771528569-5","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Spitz nain Pomeranian","1 900 000CFA","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-spitz-nain-pomeranian-2578678"
"1771528569-6","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Rottweiller","300 000CFA","Hann Bel-Air, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-rottweiller-2575614"
"1771528569-7","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Rotweiller","300 000CFA","Hann Bel-Air, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-rotweiller-2567679"
"1771528569-8","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Malinois pur sang","250 000CFA","Ouest Foire, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-pur-sang-2567608"
"1771528569-9","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Spitz Pomperanian","Prix sur demande","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-spitz-pomperanian-2567174"
"1771528569-10","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot  Chiuawa","Prix sur demande","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-chiuawa-2567166"
