web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien
"1771529856-1","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Ladoum","185 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1910059"
"1771529856-2","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","200 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1909212"
"1771529856-3","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","300 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1909205"
"1771529856-4","https://sn.coinafrique.com/categorie/moutons?page=15","Moutons","350 000CFA","Thies, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-1905916"
"1771529856-5","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","170 000CFA","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1904199"
"1771529856-6","https://sn.coinafrique.com/categorie/moutons?page=15","Ladoum jeune femelle","Prix sur demande","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/ladoum-jeune-femelle-1869297"
"1771529856-7","https://sn.coinafrique.com/categorie/moutons?page=15","Moutons Toulabire","150 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-toulabire-1863893"
"1771529856-8","https://sn.coinafrique.com/categorie/moutons?page=15","Ladoum pur sang","Prix sur demande","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/moutons/ladoum-pur-sang-1860713"
"1771529856-9","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","95 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1847816"
"1771529856-10","https://sn.coinafrique.com/categorie/moutons?page=15","Petit mouton","450 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/petit-mouton-1843870"
"1771529856-11","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","400 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1843866"
"1771529856-12","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","1 500 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1843864"
"1771529856-13","https://sn.coinafrique.com/categorie/moutons?page=15","Moutons","85 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-1838123"
"1771529856-14","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","95 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1830885"
"1771529856-15","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Ladoum","400 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1823834"
"1771529856-16","https://sn.coinafrique.com/categorie/moutons?page=15","Ladoum","1 500 000CFA","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/ladoum-1823167"
"1771529856-17","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","350CFA","Rufisque, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1817604"
"1771529856-18","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","180 000CFA","M'bour, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1814464"
"1771529856-19","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","120 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1802901"
"1771529856-20","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","280 000CFA","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1788990"
"1771529856-21","https://sn.coinafrique.com/categorie/moutons?page=15","Ladoum pur sang","850 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/ladoum-pur-sang-1712699"
